id,title,result,root_cause,source_hit_count,evidence_sources,detail_ok,playable,note
"tv-tiandao-2008","天道","PASS","OK","6","baidu|bfzy|taopian|hhzy|hongniu","true","true",""
"tv-liangjian-2005","亮剑","PASS","OK","8","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true",""
"tv-qianfu-2009","潜伏","PASS","OK","10","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true",""
"movie-wandering-earth-2019","流浪地球","WARN","RANKING_SUPPRESSION","8","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true","已召回但精确结果未稳定进入第一页。"
"movie-ne-zha-2019","哪吒之魔童降世","PASS","OK","13","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true",""
"doc-hangpai-2015","航拍中国","PASS","OK","6","bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true",""
"variety-langjie","乘风破浪的姐姐","PASS","OK","14","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true",""
"knowledge-concert","演唱会","WARN","RANKING_SUPPRESSION","8","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true","已召回但精确结果未稳定进入第一页。"
"explainer-movie","电影解说","WARN","RANKING_SUPPRESSION","2","baidu|bfzy","true","true","已召回但精确结果未稳定进入第一页。"
"short-ju","短剧","WARN","RANKING_SUPPRESSION","12","baidu|bfzy|taopian|huya|hhzy|hongniu|guangsu","true","true","已召回但精确结果未稳定进入第一页。"
